ID	Array	TotalVisits	F1	F2	F3	F4	F5	F6	F7	F8
010799F978	H1	105	15	7	4	3	16	41	12	7
01101719DA	H1	415	85	70	22	36	51	55	30	66
01101796AE	H1	18	0	0	7	4	1	2	2	2
011017975A	H3	111	0	0	2	1	51	51	3	3
01101797F0	H3	288	5	4	37	12	121	78	13	18
011017987D	H3	127	23	11	9	8	11	40	9	16
01101798A9	H1	1	0	1	0	0	0	0	0	0
01101798A9	H3	75	6	4	0	0	8	24	9	24
01101799BB	H3	193	21	8	6	7	59	54	15	23
01101799DA	H3	218	13	11	39	8	39	79	19	10
01101799F5	H1	65	1	1	1	5	23	22	7	5
0110179A53	H1	67	2	1	3	5	6	10	23	17
0110179BAB	H3	23	0	1	1	0	4	15	0	2
0110179CC6	H1	83	3	0	6	12	23	19	16	4
0110179D52	H3	222	14	8	25	15	46	69	24	21
0110179DD5	H1	25	0	2	0	2	5	1	6	9
0110179E70	H1	2	1	0	0	1	0	0	0	0
011017A0B1	H1	176	11	5	5	5	9	55	55	31
011017A1B1	H1	72	1	6	15	7	12	19	3	9
011017A21B	H1	166	19	8	17	18	24	19	41	20
011017A327	H1	21	0	0	0	0	9	12	0	0
011017A3DB	H1	22	0	0	1	5	11	4	1	0
011017A3F5	H1	28	0	1	1	0	3	9	4	10
011017A4B4	H1	62	0	0	0	8	28	25	1	0
011017A4CF	H1	71	13	5	9	2	15	8	9	10
011017A58E	H3	46	14	1	0	1	1	1	4	24
011017A601	H1	94	17	3	2	1	23	19	18	11
011017A66F	H3	30	0	1	0	1	11	13	0	4
011017A83A	H3	1	0	0	0	0	0	1	0	0
030001F598	L8	5	0	2	3	0	0	0	0	0
030001F664	H1	4	0	0	0	0	1	1	1	1
030001F885	H1	24	9	1	0	1	0	3	4	6
0300025F50	H1	276	6	5	18	69	154	24	0	0
030002B8FF	H1	73	0	1	0	3	7	20	19	23
030003735A	H3	433	11	9	9	3	30	107	84	180
0700ED87B1	H1	169	11	15	15	29	44	22	14	19
0700ED8BD1	H3	15	1	0	2	1	4	7	0	0
0700ED8E2B	H3	265	27	17	30	16	39	70	30	36
0700ED8FCF	L3	3	0	0	0	0	2	1	0	0
0700ED9084	H3	137	9	6	0	0	58	39	9	16
0700ED9667	H1	228	39	53	27	22	29	31	6	21
0700ED985B	H1	118	16	9	2	2	11	14	38	26
0700ED990E	H1	162	30	18	13	14	12	12	32	31
0700ED9947	H1	5	0	0	0	0	1	0	3	1
0700ED9947	H3	102	8	4	7	5	15	36	14	13
0700ED9998	H1	35	4	4	0	0	2	10	3	12
0700ED9AAB	H3	312	19	6	2	5	56	102	66	56
0700EDA11E	H3	282	40	21	8	4	15	39	42	113
0700EDA702	H3	287	31	7	26	5	38	95	51	34
0700EDA769	H1	40	1	0	1	7	16	14	0	1
0700EDABF7	H1	116	8	2	9	11	21	33	10	22
0700EDADD1	H1	112	35	27	8	10	15	6	6	5
0700EDB111	H1	86	5	0	1	9	21	24	19	7
0700EDB49C	H1	191	28	45	16	15	58	18	4	7
0700EDB721	H3	131	4	1	3	4	26	64	19	10
0700EDB878	H3	57	15	3	6	4	6	7	4	12
0700EDB889	H3	69	13	11	2	9	6	0	22	6
0700EDBFAD	H1	101	1	1	2	9	12	31	29	16
0700EDC0C6	H3	35	7	2	2	0	5	0	12	7
0700EDC24A	L8	1	0	0	1	0	0	0	0	0
0700EDC75C	H1	128	23	10	6	12	15	16	20	26
0700EDCB97	H3	45	4	0	2	2	11	12	8	6
0700EDCCCF	H1	24	1	3	1	0	4	7	4	4
0700EDD4DE	H3	28	3	1	6	4	7	2	3	2
0700EDD4E1	H3	354	31	4	15	4	74	70	112	44
0700EDD51F	H1	33	9	4	0	1	4	2	6	7
0700EDD65F	H3	12	0	0	1	5	2	4	0	0
0700EDD8A3	H1	29	3	1	1	0	0	7	9	8
0700EDD8A3	H3	250	19	10	2	6	37	67	49	60
0700EDDE2F	H3	224	58	26	15	5	10	31	33	46
0700EDDE6B	H1	250	5	11	12	36	47	77	38	24
0700EDE028	H3	388	52	14	81	20	37	72	55	57
0700EDEDF9	H3	1	0	0	1	0	0	0	0	0
0700EDEE86	H3	98	8	16	33	25	12	3	1	0
0700EDEFA0	H1	44	4	0	1	0	9	9	9	12
0700EDF205	H1	167	51	16	14	12	12	8	18	36
0700EDF308	H3	91	2	3	6	11	11	32	9	17
0700EDF321	H1	329	59	50	8	10	20	34	41	107
0700EDF46D	H1	147	2	6	3	4	22	49	38	23
0700EDF64A	H3	193	14	7	12	8	41	53	44	14
0700EDF740	H3	321	11	2	18	22	175	93	0	0
0700EDF8A1	H1	188	8	7	3	12	68	43	36	11
0700EDFFE1	H1	64	5	14	1	0	7	10	4	23
0700EE00BC	H1	110	8	2	3	7	23	20	18	29
0700EE0395	H3	372	44	22	31	12	81	73	76	33
0700EE09F8	H3	154	8	1	9	3	19	43	33	38
0700EE0D3C	H3	129	11	6	8	4	27	30	23	20
0700EE1431	H3	307	33	55	30	18	27	59	27	58
0700EE1ED7	H3	487	142	86	39	9	18	33	74	86
0700EE220E	H1	153	3	1	7	45	54	42	1	0
0700EE2818	H1	112	2	2	10	16	16	55	8	3
0700EE32AF	H1	76	0	0	0	3	25	47	1	0
0700EE3A1B	H3	266	6	5	17	7	142	79	2	8
0700EE3C13	H3	126	15	7	0	3	13	55	14	19
0700EE42EC	H1	123	18	27	21	6	9	15	16	11
0700EE4300	H3	228	14	6	3	3	49	63	45	45
0700EE44D2	H3	209	50	10	18	4	15	62	22	28
