ID	Array	TotalVisits
0700ED8BD1	H3	15
0700ED9084	H3	137
0700EDCB97	H3	45
011017A601	H1	94
01101719DA	H1	415
0700EDE028	H3	388
01101797F0	H3	288
0110179D52	H3	222
011017987D	H3	127
011017A4B4	H1	62
011017A4CF	H1	71
011017A1B1	H1	72
0700EDF64A	H3	193
0700EDEFA0	H1	44
0700EDD51F	H1	33
030001F598	L8	5
011017A66F	H3	30
030003735A	H3	433
0300025F50	H1	276
0700EDEDF9	H3	1
0700ED9667	H1	228
0700EDBFAD	H1	101
0700ED985B	H1	118
01101796AE	H1	18
0700EDDE6B	H1	250
0700ED9947	H3	102
0110179DD5	H1	25
0700EDADD1	H1	112
0700ED8FCF	L3	3
0700ED9998	H1	35
030001F885	H1	24
0700EDF321	H1	329
030002B8FF	H1	73
01101798A9	H3	75
011017A327	H1	21
0700EDD65F	H3	12
0700EDF205	H1	167
0700EDB721	H3	131
0700EE32AF	H1	76
0700EDA11E	H3	282
0700EDB49C	H1	191
0700EDF46D	H1	147
0700EE1ED7	H3	487
01101799F5	H1	65
01101798A9	H1	1
030001F664	H1	4
0700EE44D2	H3	209
0700EDB889	H3	69
0700EE4300	H3	228
0110179A53	H1	67
0700EDF308	H3	91
0700EDC24A	L8	1
0700EE00BC	H1	110
011017A3DB	H1	22
011017A0B1	H1	176
011017A3F5	H1	28
0700ED990E	H1	162
0700ED8E2B	H3	265
0700EE3A1B	H3	266
0110179CC6	H1	83
0700EDC0C6	H3	35
0700EDEE86	H3	98
011017A58E	H3	46
0700EE09F8	H3	154
0700ED9AAB	H3	312
0110179BAB	H3	23
0700EE0395	H3	372
011017975A	H3	111
0700EDF740	H3	321
0700EE3C13	H3	126
0700EDD8A3	H1	29
0700EDDE2F	H3	224
0700EDC75C	H1	128
0700EE1431	H3	307
0700EDD4DE	H3	28
01101799BB	H3	193
0700EDF8A1	H1	188
0700EDD4E1	H3	354
0110179E70	H1	2
0700EE0D3C	H3	129
0700ED9947	H1	5
0700ED87B1	H1	169
0700EDD8A3	H3	250
0700EDFFE1	H1	64
0700EE2818	H1	112
010799F978	H1	105
011017A21B	H1	166
0700EE220E	H1	153
0700EDB111	H1	86
01101799DA	H3	218
0700EDB878	H3	57
0700EDA702	H3	287
0700EDABF7	H1	116
0700EE42EC	H1	123
011017A83A	H3	1
0700EDA769	H1	40
0700EDCCCF	H1	24
